age,balance,day,duration,campaign,pdays,previous,rank
36,1094,8,291,1,335,1,B
22,254,13,143,2,-1,0,A
35,-1322,30,105,11,-1,0,B
34,1759,25,695,1,-1,0,A
48,658,17,89,1,-1,0,B
33,8097,21,500,2,-1,0,B
31,385,21,304,1,-1,0,B
26,2692,28,159,2,-1,0,B
36,139,6,309,2,-1,0,B
39,1045,9,290,13,-1,0,B
40,4126,4,671,2,-1,0,B
32,0,28,74,2,-1,0,B
45,550,20,97,1,-1,0,B
40,1217,18,155,1,-1,0,B
51,-20,1,58,1,-1,0,B
44,3463,28,210,3,-1,0,B
34,-554,31,68,3,-1,0,B
45,-1621,15,8,2,346,5,B
40,1232,28,175,11,-1,0,B
51,307,30,206,2,-1,0,B
57,7162,17,83,1,-1,0,B
30,4,15,692,1,-1,0,B
54,641,20,399,2,-1,0,B
28,0,26,89,1,-1,0,B
49,3376,9,119,3,-1,0,B
39,3494,19,139,1,92,4,B
53,56,5,152,2,-1,0,B
35,1178,15,220,2,183,5,B
36,4596,16,901,2,-1,0,A
40,5061,3,63,2,-1,0,B
40,669,26,161,3,-1,0,B
32,284,29,161,2,-1,0,B
35,245,11,134,2,370,1,B
35,-5,6,48,5,-1,0,B
31,1599,30,226,1,78,2,B
44,5282,30,274,1,-1,0,B
34,951,21,343,1,-1,0,B
49,-969,30,61,2,2,1,B
73,3443,4,770,3,-1,0,A
38,113,16,27,2,-1,0,B
56,0,15,103,1,-1,0,B
27,4738,13,752,1,-1,0,B
48,0,17,479,1,-1,0,B
36,1366,2,131,1,-1,0,B
36,0,30,184,6,-1,0,B
60,371,11,102,8,-1,0,B
40,876,16,208,1,-1,0,B
57,204,6,97,5,-1,0,B
44,2058,21,661,1,-1,0,B
50,736,14,74,1,-1,0,B
32,607,18,1060,5,-1,0,A
44,227,8,364,1,262,2,B
43,408,14,6,1,838,3,B
33,422,21,289,2,-1,0,B
43,2987,11,103,3,-1,0,B
24,99,4,56,3,-1,0,B
36,1339,11,136,1,-1,0,B
49,400,21,151,3,-1,0,B
34,2885,10,314,2,156,4,A
37,277,9,251,2,-1,0,B
30,1032,29,52,5,-1,0,B
58,4265,29,96,2,-1,0,B
45,569,14,228,1,-1,0,B
38,3242,17,198,5,331,1,B
29,22008,28,139,2,-1,0,B
36,-100,3,369,2,-1,0,B
29,940,15,382,1,-1,0,A
25,1957,24,1207,4,385,1,A
49,216,9,144,2,-1,0,B
33,13,29,111,1,247,2,B
51,-637,19,233,2,-1,0,B
35,356,20,474,2,-1,0,B
52,698,30,38,2,-1,0,B
42,419,6,198,2,-1,0,B
29,2806,15,294,1,93,5,B
43,284,28,256,1,-1,0,B
41,0,15,368,4,-1,0,B
47,642,13,197,2,363,2,B
44,244,12,1735,4,-1,0,A
37,523,19,21,1,-1,0,B
50,321,22,90,11,-1,0,B
42,-593,28,69,1,-1,0,B
26,70,28,99,2,-1,0,B
39,81,23,438,1,-1,0,B
56,2666,29,94,2,-1,0,B
22,110,18,237,2,-1,0,B
33,371,16,1128,3,-1,0,B
30,1824,21,153,2,-1,0,B
49,3659,7,160,1,-1,0,B
51,-27,29,158,4,-1,0,B
32,12686,20,176,1,170,1,B
25,12,12,126,6,-1,0,A
33,2411,23,130,1,161,1,A
45,7811,16,143,2,-1,0,B
29,229,17,273,2,343,1,B
28,730,26,78,6,85,5,B
29,602,17,440,2,-1,0,B
29,519,18,120,1,-1,0,B
36,3202,20,690,3,183,2,B
25,54,13,318,2,-1,0,B
31,389,7,69,1,185,2,B
29,417,7,90,1,-1,0,B
29,2799,5,371,2,-1,0,B
51,1236,10,613,1,-1,0,B
35,71,26,78,4,-1,0,B
32,27,18,261,1,-1,0,B
37,29,3,269,2,-1,0,B
45,1583,7,84,7,-1,0,B
46,1844,19,29,1,-1,0,B
64,109,23,706,1,225,2,A
60,109,27,349,5,-1,0,B
48,-139,13,75,2,-1,0,B
28,448,28,307,1,-1,0,B
30,1534,27,596,1,-1,0,B
39,2193,2,550,3,-1,0,B
51,1994,18,771,2,-1,0,A
50,1790,6,748,3,-1,0,B
26,66,14,451,1,339,3,B
36,483,11,179,1,304,2,B
30,10735,20,63,1,-1,0,B
59,1729,30,119,1,-1,0,B
39,13338,11,103,4,-1,0,B
31,-30,17,804,2,-1,0,B
47,726,17,60,3,-1,0,B
52,809,4,121,1,-1,0,B
48,0,18,71,1,-1,0,B
47,823,19,191,3,-1,0,B
65,90,22,416,1,-1,0,A
43,240,16,453,1,-1,0,A
32,3228,19,198,3,-1,0,B
45,2718,24,304,2,-1,0,B
54,2243,12,281,1,-1,0,B
33,1257,22,66,1,-1,0,B
30,-44,17,97,1,-1,0,B
50,2812,20,17,37,-1,0,B
36,133,9,117,1,-1,0,B
51,40,13,79,1,370,1,B
30,376,21,710,1,-1,0,A
40,824,17,359,1,-1,0,B
71,653,26,367,1,-1,0,A
58,25,2,132,2,-1,0,B
26,614,27,103,1,-1,0,B
61,938,15,392,2,183,3,A
36,49,15,232,2,365,5,B
30,-100,15,292,1,-1,0,C
34,404,9,208,12,337,1,B
49,53,12,134,6,-1,0,B
51,2242,18,498,3,-1,0,B
51,-287,12,814,1,-1,0,B
59,2143,28,59,1,268,1,B
43,547,9,96,6,-1,0,B
43,1807,30,711,1,-1,0,B
40,2141,18,107,3,-1,0,B
34,3047,30,317,1,160,5,A
50,424,12,72,2,-1,0,B
32,142,12,101,1,-1,0,B
41,1,19,55,4,-1,0,B
56,276,5,269,1,-1,0,B
36,664,30,266,4,-1,0,B
36,2637,4,219,1,-1,0,B
34,184,30,87,3,-1,0,B
57,1158,17,204,2,109,21,B
50,4108,7,526,2,-1,0,A
46,829,21,81,7,-1,0,B
60,-79,29,192,1,-1,0,B
30,24,18,112,3,-1,0,B
31,-848,23,559,3,-1,0,B
51,21,13,157,2,-1,0,B
44,1138,27,523,3,-1,0,A
27,4923,19,57,7,-1,0,B
27,3792,22,504,1,183,2,A
54,529,5,1492,1,-1,0,B
56,159,20,132,3,-1,0,B
44,1262,26,788,11,-1,0,A
30,3927,11,247,1,-1,0,B
37,3,29,82,1,-1,0,B
32,183,9,17,10,-1,0,B
44,1529,30,347,1,-1,0,A
34,239,2,107,2,-1,0,B
32,3595,21,171,2,-1,0,B
57,283,7,123,2,-1,0,B
26,3244,28,390,1,-1,0,B
45,90,29,744,6,-1,0,B
32,131,21,212,2,-1,0,B
51,73,21,195,1,-1,0,B
54,208,12,255,1,-1,0,B
48,1669,3,143,1,-1,0,B
36,0,30,54,4,-1,0,B
36,556,18,154,3,189,1,B
26,2506,28,210,2,100,1,B
34,0,12,34,2,288,12,B
25,640,13,492,2,-1,0,B
54,-291,19,99,2,-1,0,B
34,11,8,233,1,-1,0,B
26,2063,10,221,1,-1,0,B
29,1,15,56,3,-1,0,B
49,518,29,1917,2,-1,0,A
37,1116,3,18,6,201,7,B
41,923,7,141,3,-1,0,B
50,2881,5,510,2,2,5,B
36,10773,18,89,1,-1,0,B
29,1012,23,926,1,-1,0,B
58,196,27,110,3,-1,0,B
32,8859,20,252,1,-1,0,B
38,31,20,59,3,-1,0,B
36,1825,14,24,1,346,1,B
55,220,6,328,2,-1,0,B
30,253,23,146,4,-1,0,B
56,16377,13,107,8,-1,0,B
26,5,11,251,1,304,2,B
31,86,12,150,4,-1,0,B
50,149,7,74,1,-1,0,B
35,9,13,84,2,364,2,B
41,563,13,69,4,-1,0,B
35,360,20,24,1,152,3,B
33,230,29,264,2,-1,0,B
42,100,7,64,2,-1,0,B
32,751,8,64,1,-1,0,B
28,0,5,335,2,281,8,B
55,419,22,33,8,-1,0,B
39,34,27,114,1,-1,0,B
31,233,14,241,2,365,10,B
35,4,9,130,2,-1,0,B
53,945,29,82,2,-1,0,B
60,0,7,401,3,-1,0,A
32,1398,15,233,1,-1,0,B
19,1803,10,59,1,-1,0,B
36,366,22,136,6,-1,0,B
45,-459,21,508,6,-1,0,B
25,628,8,266,1,-1,0,B
41,2152,30,134,1,121,1,B
40,2338,16,717,2,-1,0,A
32,127,5,195,1,-1,0,B
32,92,18,110,1,315,2,B
52,432,6,44,4,-1,0,B
26,620,26,76,1,96,2,B
34,266,6,437,2,-1,0,B
41,2611,1,129,1,314,2,B
55,2120,11,236,3,-1,0,B
45,248,16,212,2,-1,0,B
48,0,5,67,1,-1,0,B
60,1139,6,67,2,207,2,B
45,0,1,5,1,-1,0,B
32,228,5,176,1,288,3,B
56,1113,12,138,1,-1,0,B
55,4746,23,288,3,-1,0,B
39,0,28,93,25,-1,0,B
55,319,21,124,3,-1,0,B
34,4447,2,159,1,84,2,B
40,4539,13,256,3,439,1,A
41,1820,21,25,3,-1,0,B
56,40,11,123,2,-1,0,B
33,-258,8,362,1,-1,0,B
42,477,17,231,2,-1,0,B
39,0,12,561,4,369,3,B
43,7876,11,209,2,-1,0,B
28,1241,24,343,1,-1,0,B
37,105,21,197,2,157,4,B
30,2317,26,260,5,-1,0,B
44,1147,12,23,1,-1,0,B
50,148,17,413,2,-1,0,B
30,4,17,284,1,-1,0,B
36,1127,17,625,3,-1,0,B
51,441,7,189,2,167,2,B
37,68,13,151,2,351,1,B
32,550,19,337,1,-1,0,A
79,909,25,114,1,95,1,B
56,556,28,102,4,-1,0,B
37,16,20,280,1,-1,0,B
37,-426,31,56,30,-1,0,B
47,387,7,122,2,-1,0,B
41,406,6,272,1,-1,0,B
48,623,2,1425,2,-1,0,A
58,593,9,204,2,-1,0,B
47,1405,12,127,1,-1,0,B
41,523,6,232,3,-1,0,B
51,1421,7,152,5,-1,0,B
38,-367,12,354,1,-1,0,B
36,8,21,115,2,-1,0,B
45,-320,28,204,3,-1,0,B
40,6767,11,431,1,172,2,B
52,314,4,131,2,-1,0,B
37,688,9,158,2,279,2,B
36,115,2,225,1,-1,0,B
56,878,20,123,3,-1,0,B
46,334,4,36,6,90,2,B
27,6421,28,147,4,-1,0,B
64,1644,7,569,4,-1,0,A
41,450,17,122,1,338,2,B
34,-745,11,131,2,-1,0,B
36,3415,10,150,10,-1,0,B
44,1196,27,202,1,-1,0,B
38,4,16,158,1,-1,0,B
57,13834,11,107,1,-1,0,B
72,413,7,358,6,-1,0,B
34,4535,6,54,3,-1,0,B
32,6284,14,167,8,-1,0,B
39,-468,8,88,2,-1,0,B
69,647,27,199,1,-1,0,B
49,-470,12,691,1,-1,0,B
54,10374,20,283,2,189,2,B
48,335,17,214,3,-1,0,B
35,344,27,519,16,-1,0,A
24,525,16,253,1,332,1,B
32,253,4,257,3,-1,0,B
43,572,17,80,2,-1,0,B
54,0,30,520,3,-1,0,B
41,49,15,342,2,-1,0,B
48,0,8,72,1,-1,0,B
40,2171,9,97,1,-1,0,B
44,533,18,127,1,110,2,B
47,235,6,121,1,-1,0,B
55,8585,28,201,2,-1,0,B
29,321,2,102,2,-1,0,B
37,192,23,105,2,-1,0,B
58,1187,6,228,2,-1,0,B
41,3622,19,1135,4,-1,0,A
49,15,30,166,3,2,2,B
38,1655,29,392,2,-1,0,B
46,684,29,414,2,-1,0,B
55,0,26,172,5,-1,0,B
58,35,29,336,7,-1,0,B
33,478,30,475,2,-1,0,A
43,308,3,137,3,264,4,B
44,6285,20,136,3,125,2,B
46,700,2,299,1,-1,0,B
36,2813,7,88,3,-1,0,B
49,377,22,158,1,59,2,B
46,218,10,41,1,-1,0,B
31,8784,21,63,2,-1,0,B
27,941,11,124,1,-1,0,B
30,44,18,82,4,-1,0,B
34,2959,13,413,5,-1,0,B
38,489,2,218,1,-1,0,B
49,-888,21,298,1,-1,0,B
37,1785,26,912,4,-1,0,B
47,6333,19,498,4,-1,0,B
26,972,20,177,10,-1,0,B
64,1977,24,160,2,-1,0,B
38,2350,25,234,12,-1,0,B
58,128,30,49,5,-1,0,B
36,734,19,276,2,-1,0,B
33,231,27,198,2,-1,0,B
47,273,21,91,3,-1,0,B
54,209,17,206,1,-1,0,C
31,337,12,51,1,-1,0,B
39,208,29,81,1,240,2,B
59,-411,29,225,1,-1,0,B
43,1260,6,17,4,-1,0,B
30,458,20,51,7,-1,0,B
34,452,15,90,3,-1,0,B
51,814,14,17,8,-1,0,B
37,718,17,43,1,-1,0,B
44,314,30,742,2,-1,0,B
26,-887,18,827,2,-1,0,A
32,0,25,83,10,-1,0,B
33,802,6,401,1,-1,0,B
40,665,5,177,3,211,1,B
31,968,17,464,1,-1,0,B
34,1011,6,136,1,-1,0,B
37,181,5,140,1,-1,0,B
54,1154,3,125,3,-1,0,B
36,215,18,309,1,-1,0,B
26,223,21,1002,3,-1,0,A
26,241,16,136,1,-1,0,B
31,272,13,133,12,-1,0,B
60,-134,12,243,1,271,4,B
41,221,14,57,2,-1,0,B
30,8,30,76,2,150,1,B
54,496,13,452,3,-1,0,A
34,527,4,272,1,-1,0,B
29,218,12,169,1,-1,0,B
32,84,29,403,3,-1,0,B
48,2409,24,533,2,-1,0,B
50,-1455,6,119,1,-1,0,B
31,1230,27,290,4,-1,0,B
32,4291,7,1321,9,-1,0,A
73,1388,11,767,2,83,1,A
57,1078,5,10,4,-1,0,B
34,-56,13,197,2,-1,0,B
49,1854,19,173,5,-1,0,B
37,1549,6,48,2,-1,0,B
32,-360,21,176,4,-1,0,B
27,2729,24,218,2,-1,0,B
78,631,11,95,1,-1,0,B
28,332,7,385,1,-1,0,B
49,230,8,96,1,-1,0,B
31,297,12,480,1,-1,0,B
49,1697,19,236,1,-1,0,B
25,10788,23,102,2,210,2,B
41,145,22,1833,2,-1,0,A
41,1445,21,104,3,-1,0,B
31,1263,20,364,1,-1,0,B
43,184,16,1019,11,-1,0,A
43,-213,7,543,2,-1,0,B
42,177,14,174,2,-1,0,B
32,833,2,227,5,164,3,B
38,106,2,124,1,-1,0,B
31,328,20,89,1,-1,0,B
27,-541,13,153,1,-1,0,B
28,174,11,56,1,184,2,B
59,1407,9,232,1,-1,0,B
50,83,21,40,2,-1,0,B
30,-35,14,1204,4,-1,0,B
56,393,26,183,1,221,2,A
26,340,28,128,1,-1,0,B
57,249,5,164,1,-1,0,B
32,197,29,313,6,-1,0,B
49,410,27,117,7,-1,0,B
40,71,8,225,1,-1,0,B
55,3122,8,349,1,-1,0,A
54,1156,16,64,2,-1,0,B
29,-233,19,329,1,-1,0,B
42,534,16,139,2,-1,0,B
26,3247,6,341,3,-1,0,B
47,452,15,113,4,-1,0,B
38,580,30,572,6,-1,0,B
32,454,18,978,1,-1,0,A
36,317,16,348,1,-1,0,B
32,471,3,379,2,-1,0,B
36,612,25,153,2,-1,0,B
34,4902,6,59,1,167,1,B
45,510,6,639,2,-1,0,B
29,14,12,106,1,105,2,B
25,1348,8,109,1,-1,0,B
40,408,8,80,1,322,4,B
27,92,30,274,4,-1,0,B
51,10287,29,117,1,-1,0,B
52,371,21,224,2,182,1,A
59,681,14,427,2,-1,0,B
58,1406,14,252,3,-1,0,B
51,2499,12,309,5,-1,0,B
44,0,14,289,3,-1,0,B
36,68,27,157,1,-1,0,B
66,1230,16,288,6,181,3,A
33,1646,7,317,2,-1,0,B
29,577,17,501,3,331,10,B
45,640,5,214,1,1,1,B
34,-285,15,192,1,276,3,B
32,2378,17,1132,2,-1,0,A
58,4318,5,307,2,-1,0,B
33,191,9,25,1,-1,0,B
54,98,8,420,4,-1,0,B
34,1655,28,49,2,-1,0,B
37,12939,3,77,3,202,9,B
52,3283,11,553,1,-1,0,B
26,-219,15,311,5,-1,0,B
34,607,26,449,1,326,3,B
62,272,11,146,1,286,2,A
30,8781,18,898,1,-1,0,A
33,3090,21,162,1,-1,0,B
33,2376,7,278,3,-1,0,B
52,1727,21,337,1,-1,0,B
57,0,20,107,2,-1,0,B
50,325,17,150,1,-1,0,B
27,498,12,191,1,369,3,B
30,173,13,217,1,-1,0,B
52,782,5,93,3,-1,0,B
35,726,5,163,1,-1,0,B
25,1179,18,150,2,185,3,B
42,367,10,563,1,-1,0,B
43,24,7,183,4,357,2,B
31,17924,14,745,1,174,3,A
36,84,15,306,14,-1,0,B
27,23,26,590,2,-1,0,B
53,837,27,160,4,-1,0,B
39,1444,25,362,8,-1,0,A
22,2589,15,239,1,352,1,B
53,80,5,230,2,-1,0,B
26,1275,20,18,9,-1,0,B
54,175,3,94,4,271,4,B
64,3951,28,134,1,91,1,A
38,378,21,184,21,-1,0,B
24,493,13,85,4,358,1,B
50,-168,23,1327,2,-1,0,A
46,285,11,215,2,-1,0,B
39,2040,2,145,2,-1,0,B
36,3740,7,254,1,-1,0,B
40,269,5,128,1,-1,0,B
54,651,22,121,2,-1,0,B
45,597,17,73,1,-1,0,B
25,14657,12,194,3,-1,0,B
46,4105,15,115,3,258,2,B
43,314,26,134,1,-1,0,B
32,329,15,166,4,-1,0,B
45,2403,21,207,1,-1,0,B
49,443,20,25,11,-1,0,B
25,0,23,163,1,-1,0,A
50,1477,18,283,2,-1,0,B
31,-513,7,124,1,-1,0,B
30,2262,28,102,2,-1,0,B
46,1693,25,137,1,97,1,B
39,7685,14,493,3,-1,0,B
41,0,17,509,7,-1,0,B
51,580,2,117,5,-1,0,B
36,928,20,239,1,-1,0,B
33,1844,29,241,3,-1,0,B
35,2622,15,374,5,-1,0,B
29,-211,18,58,1,-1,0,B
33,56,8,112,2,-1,0,B
34,798,8,284,2,-1,0,B
40,985,15,313,3,145,5,B
45,1953,15,95,3,-1,0,B
38,1612,8,423,1,-1,0,A
25,349,22,1037,8,-1,0,A
41,0,7,630,3,-1,0,B
48,101,14,549,3,-1,0,B
47,-213,26,168,1,-1,0,B
32,1659,30,120,6,-1,0,B
46,874,19,819,3,-1,0,A
38,2600,5,27,2,-1,0,B
52,5423,17,93,1,115,1,B
34,528,21,85,1,-1,0,B
26,2356,23,252,6,-1,0,B
47,-406,8,243,5,-1,0,B
37,734,21,1106,1,-1,0,B
36,115,4,134,3,91,1,B
46,144,22,79,4,-1,0,B
53,183,15,73,1,-1,0,B
51,220,7,421,2,-1,0,B
41,2585,20,159,2,-1,0,B
41,60,20,239,2,-1,0,B
28,416,17,345,1,-1,0,B
38,384,3,387,1,-1,0,B
40,1247,2,445,2,-1,0,B
55,517,6,47,3,263,4,B
50,1093,30,319,1,-1,0,B
44,-212,7,103,4,-1,0,B
39,311,14,240,2,-1,0,B
44,-63,6,392,2,-1,0,B
56,1340,30,197,6,-1,0,B
53,70,21,77,8,-1,0,B
51,921,24,188,1,-1,0,B
43,197,17,48,2,-1,0,B
30,-202,27,166,2,-1,0,B
43,5670,20,43,4,189,2,B
52,4660,18,82,3,-1,0,B
39,2679,23,811,1,-1,0,B
50,592,8,445,4,-1,0,B
35,767,16,1408,2,-1,0,B
47,0,3,335,1,-1,0,B
38,2751,28,185,1,-1,0,B
49,633,29,249,6,-1,0,B
43,-7,29,228,1,-1,0,B
32,6145,14,362,1,287,13,C
29,265,22,491,1,-1,0,A
33,-805,7,208,2,-1,0,B
37,-141,29,76,3,-1,0,B
44,678,3,111,1,124,2,B
37,543,21,281,1,-1,0,B
59,1889,21,256,1,-1,0,B
