ID,Date,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region,AveragePrice
13,2015/9/27,106803.39,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0,conventional,2015,Albany,0.99
12,2015/10/4,61007.1,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0,conventional,2015,Albany,1.31
11,2015/10/11,64489.17,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0,conventional,2015,Albany,1.28
10,2015/10/18,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0,conventional,2015,Albany,1.12
9,2015/10/25,74338.76,842.4,64757.44,113,8625.92,8061.47,564.45,0,conventional,2015,Albany,1.07
8,2015/11/1,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,conventional,2015,Albany,1.02
7,2015/11/8,109428.33,703.75,101815.36,80,6829.22,6266.85,562.37,0,conventional,2015,Albany,0.98
6,2015/11/15,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,conventional,2015,Albany,0.99
5,2015/11/22,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany,1.26
4,2015/11/29,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,conventional,2015,Albany,1.28
3,2015/12/6,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany,1.08
2,2015/12/13,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany,0.93
1,2015/12/20,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany,1.35
0,2015/12/27,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany,1.33
51,2016/1/3,149038.15,939.71,139735.9,132.35,8230.19,8056.43,173.76,0,conventional,2016,Albany,1.03
50,2016/1/10,79121.77,848.19,66696.97,109.08,11467.53,11293.65,173.88,0,conventional,2016,Albany,1.28
49,2016/1/17,119972.41,1202.52,100613.46,51.22,18105.21,17980.53,124.68,0,conventional,2016,Albany,1.26
48,2016/1/24,96089.13,545.37,70802.56,68.41,24672.79,23926.35,746.44,0,conventional,2016,Albany,1.22
47,2016/1/31,102038.32,1386.24,79881.67,69.46,20700.95,19788.78,912.17,0,conventional,2016,Albany,1.16
46,2016/2/7,169614.01,2031.67,157271.87,109.88,10200.59,9349.67,850.92,0,conventional,2016,Albany,1.07
45,2016/2/14,98008.16,1640.86,77133.01,12,19222.29,17663.46,1558.83,0,conventional,2016,Albany,1.13
44,2016/2/21,99817.47,869.16,84484.99,24.98,14438.34,12280.58,2157.76,0,conventional,2016,Albany,1.28
43,2016/2/28,87822.43,805.41,72159.95,63.13,14793.94,13739.89,1054.05,0,conventional,2016,Albany,1.26
42,2016/3/6,90633.66,972.34,74693.31,56.26,14911.75,14476.23,435.52,0,conventional,2016,Albany,1.27
41,2016/3/13,108264.9,847.64,96117.13,60.99,11239.14,10817.56,421.58,0,conventional,2016,Albany,1.18
40,2016/3/20,110401.88,764.97,97082.4,70.15,12484.36,12286.01,198.35,0,conventional,2016,Albany,1.32
39,2016/3/27,92529.27,808.5,78146.18,36.73,13537.86,13037.43,500.43,0,conventional,2016,Albany,1.49
38,2016/4/3,81694.23,676.27,70459.66,31.2,10527.1,10058.25,468.85,0,conventional,2016,Albany,0.85
37,2016/4/10,70253.3,972.15,56128.98,38,13114.17,12671.09,443.08,0,conventional,2016,Albany,1.46
36,2016/4/17,86433.63,898.63,70042.6,25,15467.4,14642.65,712.25,112.5,conventional,2016,Albany,1.22
35,2016/4/24,102490.2,954.6,87571.23,43.15,13921.22,13463.97,337.81,119.44,conventional,2016,Albany,1.18
34,2016/5/1,173781.78,884.01,163570.47,37.84,9289.46,8918.99,321.86,48.61,conventional,2016,Albany,1.03
33,2016/5/8,120194.49,1041.95,96137.78,84.8,22929.96,22697.54,232.42,0,conventional,2016,Albany,1.27
32,2016/5/15,96924.19,901.65,75847.91,82.97,20091.66,19802.87,288.79,0,conventional,2016,Albany,1.36
31,2016/5/22,98863.64,929.07,74678.36,59.07,23197.14,22571.49,20.65,605,conventional,2016,Albany,1.34
30,2016/5/29,127812.25,2580.77,104876.94,103.64,20250.9,19519.92,180.98,550,conventional,2016,Albany,1.49
29,2016/6/5,115857.12,4288.46,92055.75,53.98,19458.93,17385.6,398.33,1675,conventional,2016,Albany,1.47
28,2016/6/12,111394.5,7531.24,83771.34,81.25,20010.67,18368.49,282.18,1360,conventional,2016,Albany,1.38
27,2016/6/19,112817.51,6766.63,85374.27,30.07,20646.54,18526.59,389.95,1730,conventional,2016,Albany,1.42
26,2016/6/26,133086.66,7923.01,106656.84,37.42,18469.39,16479.75,419.64,1570,conventional,2016,Albany,1.5
25,2016/7/3,115907.61,8373.77,82122.04,146.83,25264.97,21872.64,492.33,2900,conventional,2016,Albany,1.42
24,2016/7/10,131630.13,20970.24,96581.82,46.49,14031.58,10876,470.58,2685,conventional,2016,Albany,1.11
23,2016/7/17,89228.02,9273.69,64260.69,80.07,15613.57,13439.76,688.81,1485,conventional,2016,Albany,1.31
22,2016/7/24,98321.14,11580.64,65195.63,13.73,21531.14,18639.29,241.85,2650,conventional,2016,Albany,1.46
21,2016/7/31,125586.57,9293.65,96915.41,25.46,19352.05,18803.23,78.82,470,conventional,2016,Albany,1.61
20,2016/8/7,99683.11,14670.87,69054.28,10.9,15947.06,14597.2,178.19,1171.67,conventional,2016,Albany,1.48
19,2016/8/14,110528.09,24000.62,72970.23,26.76,13530.48,12434.82,350.1,745.56,conventional,2016,Albany,1.2
18,2016/8/21,94882.79,14520.36,63416.88,28.03,16917.52,15811,286.52,820,conventional,2016,Albany,1.43
17,2016/8/28,145323.22,34912.97,94928.79,53.85,15427.61,14367.64,269.97,790,conventional,2016,Albany,1.18
16,2016/9/4,95456.26,14741.13,64966.75,88.11,15660.27,15340.19,220.08,100,conventional,2016,Albany,1.44
15,2016/9/11,81473.15,6258.88,63511.85,42.26,11660.16,10839.17,815.99,5,conventional,2016,Albany,1.37
14,2016/9/18,79513.63,6624.37,63384.56,37.48,9467.22,8958.14,509.08,0,conventional,2016,Albany,1.39
13,2016/9/25,96853.15,7658.55,79425.81,43.25,9725.54,9586.8,138.74,0,conventional,2016,Albany,1.62
12,2016/10/2,75480.26,4109.22,57515.76,84.08,13771.2,13345.52,425.68,0,conventional,2016,Albany,1.51
11,2016/10/9,101087.84,3641.46,87174.41,102.15,10169.82,9744.41,425.41,0,conventional,2016,Albany,1.13
10,2016/10/16,69060.9,4027.42,54186.55,53.77,10793.16,10434.39,358.77,0,conventional,2016,Albany,1.4
9,2016/10/23,92080.35,4222.93,77537.36,46,10274.06,10160.26,113.8,0,conventional,2016,Albany,1.19
8,2016/10/30,58375.1,3187.14,45898.52,54.31,9235.13,9153.12,82.01,0,conventional,2016,Albany,1.46
7,2016/11/6,57178.2,3212.04,43024.32,36.4,10905.44,10474.09,431.35,0,conventional,2016,Albany,1.63
6,2016/11/13,63608.01,3523.63,49837.68,34,10212.7,9790.67,422.03,0,conventional,2016,Albany,1.62
5,2016/11/20,70089.51,3675.63,56898.54,11,9504.34,9238.4,209,56.94,conventional,2016,Albany,1.56
4,2016/11/27,58171.89,2793.99,47106.18,18.14,8253.58,7973.98,279.6,0,conventional,2016,Albany,1.52
3,2016/12/4,113031.96,6530.78,99746.05,50.84,6704.29,6476.12,228.17,0,conventional,2016,Albany,1.48
2,2016/12/11,71777.85,2323.39,56545.79,86.65,12822.02,12176.75,645.27,0,conventional,2016,Albany,1.49
1,2016/12/18,68938.53,3345.36,55949.79,138.72,9504.66,8876.65,587.73,40.28,conventional,2016,Albany,1.53
0,2016/12/25,73341.73,3202.39,58280.33,426.92,11432.09,11017.32,411.83,2.94,conventional,2016,Albany,1.52
52,2017/1/1,129948.23,4845.77,117027.41,200.36,7874.69,7866.86,7.83,0,conventional,2017,Albany,1.47
51,2017/1/8,91728.18,3355.47,75641.23,56.91,12674.57,12606.67,67.9,0,conventional,2017,Albany,1.55
50,2017/1/15,88526.26,3327.65,71956.77,607.03,12634.81,12574.72,60.09,0,conventional,2017,Albany,1.55
49,2017/1/22,128679.24,4119.94,111173.08,2191.71,11194.51,11060.19,125.5,8.82,conventional,2017,Albany,1.59
48,2017/1/29,95424.59,3844.62,78315.15,484.56,12780.26,12393.84,382.06,4.36,conventional,2017,Albany,1.31
47,2017/2/5,183549.08,5666.6,165530.03,2119.02,10233.43,10047.32,186.11,0,conventional,2017,Albany,1.49
46,2017/2/12,97215.94,3808.43,81070.44,175.6,12161.47,11650.91,510.56,0,conventional,2017,Albany,1.42
45,2017/2/19,95475.07,2702.57,81691.54,125.48,10955.48,10784.07,171.41,0,conventional,2017,Albany,1.67
44,2017/2/26,88371.09,3190.28,73959.76,71.2,11149.85,10910.4,239.45,0,conventional,2017,Albany,1.4
